food_id,Category,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
11702,ARTICHOKES,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",53,2.89,11.95,0.34,8.600000381,0.99000001,60
11703,ARTICHOKES,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",45,3.11,9.18,0.5,4.599999905,0.839999974,289
11705,ASPARAGUS,"ASPARAGUS,CKD,BLD,DRND,W/SALT",22,2.4,4.11,0.22,2.0,1.299999952,240
11707,ASPARAGUS,"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",15,1.8,2.48,0.18,1.0,1.0,26
11709,ASPARAGUS,"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",18,2.95,1.92,0.42,1.600000024,0.319999993,240
11710,BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",32,3.6,6.16,0.2,1.899999976,1.039999962,249
11711,BALSAM-PEAR (BITTER GOURD),"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT",19,0.84,4.32,0.18,2.0,1.950000048,242
11712,BAMBOO SHOOTS,"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT",11,1.53,1.52,0.22,1.0,0.0,240
11713,BEANS,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",33,4.83,4.72,0.58,0.0,0.0,243
11714,LIMA BNS,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",123,6.81,23.64,0.32,5.300000191,1.629999995,253
11715,LIMA BNS,"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",71,4.07,13.33,0.29,3.599999905,0.930000007,4
11716,LIMA BNS,"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT",105,6.65,19.45,0.3,6.0,1.370000005,265
11717,LIMA BNS,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT",103,6.07,19.32,0.34,5.800000191,1.340000033,289
11718,MUNG BNS,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",19,2.03,3.6,0.09,0.800000012,2.839999914,246
11719,BEANS,"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",78,7.07,15.01,0.81,0.0,0.0,250
11720,BEANS,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",162,9.31,30.88,0.48,8.600000381,0.0,319
11721,BEANS,"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",20,1.86,3.5,0.32,0.0,0.0,287
11722,BEANS,"BEANS,SNAP,YELLOW,RAW",31,1.82,7.14,0.12,3.400000095,0.0,6
11723,BEANS,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35,1.89,7.88,0.28,3.200000048,1.549999952,239
11724,BEANS,"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",35,1.89,7.88,0.28,3.299999952,1.549999952,3
11725,BEANS,"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",35,1.89,7.88,0.28,3.299999952,1.549999952,239
11726,BEANS,"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",15,0.8,3.5,0.1,1.5,0.0,14
11727,BEANS,"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",15,0.8,3.5,0.1,1.5,0.0,259
11728,BEANS,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",15,0.8,3.5,0.1,1.5,0.0,14
11729,BEANS,"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",20,1.15,4.5,0.1,1.899999976,0.769999981,2
11730,BEANS,"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",33,1.8,7.57,0.21,2.799999952,0.0,3
11731,BEANS,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",26,1.49,5.86,0.17,3.0,1.230000019,245
11732,BEANS,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",28,1.49,6.45,0.17,3.0,1.230000019,9
11733,BEANS,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",26,1.49,5.86,0.17,3.0,1.230000019,245
11734,BEETS,"BEETS,CKD,BOILED. DRND,W/SALT",44,1.68,9.96,0.18,2.0,7.960000038,285
11735,BEETS,"BEETS,CND,NO SALT,SOL&LIQUIDS",28,0.8,6.57,0.07,1.200000048,5.380000114,21
11736,BEET GRNS,"BEET GRNS,CKD,BLD,DRND,W/SALT",27,2.57,5.46,0.2,2.900000095,0.600000024,477
11737,BORAGE,"BORAGE,CKD,BLD,DRND,W/SALT",25,2.09,3.55,0.81,0.0,0.0,324
11738,BROADBEANS,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",62,4.8,10.1,0.5,0.0,0.0,277
11739,BROCCOLI,"BROCCOLI,LEAVES,RAW",28,2.98,5.24,0.35,0.0,0.0,27
11740,BROCCOLI,"BROCCOLI,FLOWER CLUSTERS,RAW",28,2.98,5.24,0.35,0.0,0.0,27
11741,BROCCOLI,"BROCCOLI,STALKS,RAW",28,2.98,5.24,0.35,0.0,0.0,27
11742,BROCCOLI,"BROCCOLI,CKD,BLD,DRND,W/SALT",35,2.38,7.18,0.41,3.299999952,1.389999986,262
11743,BROCCOLI,"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",28,3.1,5.35,0.12,3.0,1.470000029,260
11744,BROCCOLI,"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,W/SALT",28,3.1,5.35,0.11,3.0,1.440000057,260
11745,BRUSSELS SPROUTS,"BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",36,2.55,7.1,0.5,2.599999905,1.74000001,257
